ID	Drug	Target
30	A-443654	"AKT1,AKT,CWS6,PKB,PKB-ALPHA,PRKBA,RAC,RAC-ALPHA,AKT2,HIHGHH,PKBB,PKBBETA,PRKBB,RAC-BETA,AKT3,MPPH,MPPH2,PKB-GAMMA,PKBG,PRKBG,RAC-PK-gamma,RAC-gamma,STK-2"
31	GW843682X	"PLK1,PLK,STPK13,PLK3,CNK,FNK,PLK-3,PRK"
32	Entinostat	"HDAC1,GON-10,HD1,RPD3,RPD3L1,HDAC2,HD2,RPD3,YAF1,HDAC3,HD3,RPD3,RPD3-2"
33	Parthenolide	"HDAC1,GON-10,HD1,RPD3,RPD3L1"
34	GSK319347A	"IKBKB,IKK-beta,IKK2,IKKB,IMD15,IMD15A,IMD15B,NFKBIKB,IKBKG,AMCBX1,EDAID1,FIP-3,FIP3,Fip3p,IKK-gamma,IKKAP1,IKKG,IMD33,IP,IP1,IP2,IPD2,NEMO,ZC2HC9,IKBKE,IKK-E,IKK-i,IKKE,IKKI,CHUK,IKBKA,IKK-alpha,IKK1,IKKA,NFKBIKA,TCF16"
35	TGX221	"PIK3CB,P110BETA,PI3K,PI3KBETA,PIK3C1"
36	Bortezomib	"PSMB5,LMPX,MB1,X,PSMB1,HC5,PMSB1,PSC5"
37	XMD8-85	"MAPK7,BMK1,ERK4,ERK5,PRKM7,BRD4,CAP,HUNK1,HUNKI,MCAP,BRD2,BRD2-IT1,D6S113E,FSH,FSRG1,NAT,O27.1.1,RING3,RNF3,BRD3,ORFX,RING3L,BRDT,BRD6,CT9,SPGF21"
38	Seliciclib	"CDK2,CDKN2,p33(CDK2),CDK7,CAK,CAK1,CDKN7,HCAK,MO15,STK1,p39MO15,CDK9,C-2k,CDC2L4,CTK1,PITALRE,TAK"
39	Salubrinal	"EIF2S1,EIF-2,EIF-2A,EIF-2alpha,EIF2,EIF2A,EIF2A,CDA02,EIF-2A,MST089,MSTP004,MSTP089"
40	Lapatinib	"ERBB2,CD340,HER-2,HER-2/neu,HER2,MLN 19,NEU,NGL,TKR1,EGFR,ERBB,ERBB1,HER1,NISBD2,PIG61,mENA"
41	GSK269962A	"ROCK1,P160ROCK,ROCK-I,ROCK2,ROCK-II"
42	Doxorubicin	"TOP2A,TOP2,TP2A,NOLC1,NOPP130,NOPP140,NS5ATP13,P130,ATR,FCTCS,FRP1,MEC1,SCKL,SCKL1,ANTXR1,ATR,GAPO,TEM8,MMAB,ATR,CFAP23,cblB,cob,SERPINA2,ARGS,ATR,PIL,SERPINA2P,psiATR"
43	Etoposide	"TOP2A,TOP2,TP2A,TOP2B,TOPIIB,top2beta"
44	Gemcitabine	"RRM1,R1,RIR1,RR1,TYMS,HST422,TMS,TS,CMPK1,CK,CMK,CMPK,UMK,UMP-CMPK,UMPK,ATR,FCTCS,FRP1,MEC1,SCKL,SCKL1,ANTXR1,ATR,GAPO,TEM8,MMAB,ATR,CFAP23,cblB,cob,SERPINA2,ARGS,ATR,PIL,SERPINA2P,psiATR"
45	Mitomycin-C	"ATM,AT1,ATA,ATC,ATD,ATDC,ATE,TEL1,TELO1,ATR,FCTCS,FRP1,MEC1,SCKL,SCKL1,ANTXR1,ATR,GAPO,TEM8,MMAB,ATR,CFAP23,cblB,cob,SERPINA2,ARGS,ATR,PIL,SERPINA2P,psiATR,CHECK1"
46	Vinorelbine	"TUBB2A,CDCBM5,TUBB,TUBB2,TUBB,CDCBM6,CSCSC1,M40,OK/SW-cl.56,TUBB1,TUBB5"
47	NSC-87877	"PTPN6,HCP,HCPH,HPTP1C,PTP-1C,SH-PTP1,SHP-1,SHP-1L,SHP1,PTPN11,BPTP3,CFC,JMML,METCDS,NS1,PTP-1D,PTP2C,SH-PTP2,SH-PTP3,SHP2"
48	Bicalutamide	"AKR1B1,ADR,ALDR1,ALR2,AR,AR,AIS,AR8,DHTR,HUMARA,HYSP1,KD,NR3C4,SBMA,SMAX1,TFM,AREG,AR,AREGB,CRDGF,SDGF"
49	QS11	"ARFGAP3,ARFGAP1,ARFGAP1,ARF1GAP,HRIHFB2281"
50	CP466722	"ATM,AT1,ATA,ATC,ATD,ATDC,ATE,TEL1,TELO1"
51	Midostaurin	"GJB2,CX26,DFNA3,DFNA3A,DFNB1,DFNB1A,HID,KID,NSRD1,PPK,FLT1,FLT,FLT-1,VEGFR-1,VEGFR1,FGR,SRC2,c-fgr,c-src2,p55-Fgr,p55c-fgr,p58-Fgr,p58c-fgr,PRKCA,AAG6,PKC-alpha,PKCA,PKCI+/-,PKCalpha,PRKACA,KDR,CD309,FLK1,VEGFR,VEGFR2,KIT,C-Kit,CD117,MASTC,PBT,SCFR,PDGFRA,CD140A,PDGFR-2,PDGFR2,PDGFRB,CD140B,IBGC4,IMF1,JTK12,KOGS,PDGFR,PDGFR-1,PDGFR1,PENTT,FLT3,CD135,FLK-2,FLK2,STK1"
52	CHIR-99021	"GSK3A,GSK3B"
53	Ponatinib	"ABL1,ABL,CHDSKM,JTK7,bcr/abl,c-ABL,c-ABL1,p150,v-abl,BCR,ALL,BCR1,CML,D22S11,D22S662,PHL,RN7SL263P,BCR,rbc,KIT,C-Kit,CD117,MASTC,PBT,SCFR,RET,CDHF12,CDHR16,HSCR1,MEN2A,MEN2B,MTC1,PTC,RET-ELE1,TEK,CD202B,GLC3E,TIE-2,TIE2,VMCM,VMCM1,FLT3,CD135,FLK-2,FLK2,STK1,FGFR1,BFGFR,CD331,CEK,ECCL,FGFBR,FGFR-1,FLG,FLT-2,FLT2,HBGFR,HH2,HRTFDS,KAL2,N-SAM,OGD,bFGF-R-1,FGFR2,BBDS,BEK,BFR-1,CD332,CEK3,CFD1,ECT1,JWS,K-SAM,KGFR,TK14,TK25,FGFR3,ACH,CD333,CEK2,HSFGFR3EX,JTK4,FGFR4,CD334,JTK2,TKF,LCK,IMD22,LSK,YT16,p56lck,pp58lck,SRC,ASV,SRC1,THC6,c-SRC,p60-Src,LYN,JTK8,p53Lyn,p56Lyn,KDR,CD309,FLK1,VEGFR,VEGFR2,PDGFRA,CD140A,PDGFR-2,PDGFR2,KDR,CD309,FLK1,VEGFR,VEGFR2,TEK,CD202B,GLC3E,TIE-2,TIE2,VMCM,VMCM1"
54	AZD6482	"PIK3CB,P110BETA,PI3K,PI3KBETA,PIK3C1"
55	JNK-9L	"MAPK9,JNK-55,JNK2,JNK2A,JNK2ALPHA,JNK2B,JNK2BETA,PRKM9,SAPK,SAPK1a,p54a,p54aSAPK,MAPK10,JNK3,JNK3A,PRKM10,SAPK1b,p493F12,p54bSAPK"
56	PF-562271	"PTK2,FADK,FAK,FAK1,FRNK,PPP1R71,p125FAK,pp125FAK,PTK2B,CADTK,CAKB,FADK2,FAK2,PKB,PTK,PYK2,RAFTK"
57	HG6-64-1	"BRAF,B-RAF1,B-raf,BRAF1,NS7,RAFB1"
58	JQ1	"BRD2,BRD2-IT1,D6S113E,FSH,FSRG1,NAT,O27.1.1,RING3,RNF3,BRD3,ORFX,RING3L,BRD4,CAP,HUNK1,HUNKI,MCAP,BRDT,BRD6,CT9,SPGF21"
59	JQ12	"HDAC1,GON-10,HD1,RPD3,RPD3L1,HDAC2,HD2,RPD3,YAF1"
60	DMOG	"HIF1A,HIF-1-alpha,HIF-1A,HIF-1alpha,HIF1,HIF1-ALPHA,MOP1,PASD8,bHLHe78,HIF1AN,FIH1"
61	FTI-277	"FNTA,FPTA,PGGT1A,PTAR2"
62	OSU-03012	"PDK1,PDPK1,PDK1,PDPK2,PDPK2P,PRO0461,PDPK1,PDK1,PDPK2,PDPK2P,PRO0461"
63	Shikonin	"PKM,CTHBP,HEL-S-30,OIP3,PK3,PKM2,TCB,THBP1"
64	AKT inhibitor VIII	"AKT1,AKT,CWS6,PKB,PKB-ALPHA,PRKBA,RAC,RAC-ALPHA,AKT2,HIHGHH,PKBB,PKBBETA,PRKBB,RAC-BETA,AKT3,MPPH,MPPH2,PKB-GAMMA,PKBG,PRKBG,RAC-PK-gamma,RAC-gamma,STK-2"
65	Embelin	"XIAP,API3,BIRC4,IAP-3,ILP1,MIHA,XLP2,hIAP-3,hIAP3,TMPRSS11D,HAT,KAT2B,CAF,P/CAF,PCAF,NFKB1,CVID12,EBP-1,KBF1,NF-kB1,NF-kappa-B1,NF-kappaB,NFKB-p105,NFKB-p50,NFkappaB,p105,p50,NFKB2,CVID10,H2TF1,LYT-10,LYT10,NF-kB2,p100,p49/p100,p52,RELA,CMCU,NFKB3,p65,RELB,I-REL,IMD53,IREL,REL-B,REL,C-Rel"
66	FH535	"PPARG,CIMT1,GLM1,NR1C3,PPARG1,PPARG2,PPARgamma,PPARD,FAAR,NR1C2,NUC1,NUCI,NUCII,PPARB"
67	PAC-1	"CASP3,CPP32,CPP32B,SCA-1,CASP7,CASP-7,CMH-1,ICE-LAP3,LICE2,MCH3"
68	IPA-3	"PAK1,IDDMSSD,PAKalpha,PKN1,DBK,PAK-1,PAK1,PKN,PKN-ALPHA,PRK1,PRKCL1"
69	GSK650394	"SGK2,H-SGK2,dJ138B7.2,SGK3,CISK,SGK2,SGKL,SGK3,CISK,SGK2,SGKL"
70	BAY-61-3606	"SYK,p72-Syk"
71	5-Fluorouracil	"TYMS,HST422,TMS,TS,DNA,RNA"
72	Thapsigargin	"ATP2A1,ATP2A,SERCA1,ATP2A2,ATP2B,DAR,DD,SERCA2,ATP2A3,SERCA3"
73	Obatoclax Mesylate	"BCL2,Bcl-2,PPP1R50,BCL-XL,BCL2L2,BCL-W,BCL2-L-2,BCLW,PPP1R51,MCL1,BCL2L3,EAT,MCL1-ES,MCL1L,MCL1S,Mcl-1,TM,bcl2-L-3,mcl1/EAT"
74	BMS-754807	"IGF1R,CD221,IGFIR,IGFR,JTK13,INSR,CD220,HHF5"
75	Linsitinib	"IGF1R,CD221,IGFIR,IGFR,JTK13"
76	Bexarotene	"RXRA,NR2B1,RXRB,DAUDI6,H-2RIIBP,NR2B2,RCoR-1,RXRG,NR2B3,RXRC"
77	Bleomycin	"LIG1,LRIG1,LIG-1,LIG1,LIG3,LIG2,LIG3alpha,LRIG3,LIG3,ATM,AT1,ATA,ATC,ATD,ATDC,ATE,TEL1,TELO1,PRKDC,DNA-PKC,DNA-PKcs,DNAPK,DNAPKc,DNPK1,HYRC,HYRC1,IMD26,XRCC7,p350"
78	LFM-A13	"BTK,AGMX1,AT,ATK,BPK,IGHD3,IMD1,PSCTK1,XLA"
79	GW-2580	"CSF1R,C-FMS,CD115,CSF-1R,CSFR,FIM2,FMS,HDLS,M-CSF-R"
80	Luminespib	"HSP90AA1,EL52,HEL-S-65p,HSP86,HSP89A,HSP90A,HSP90N,HSPC1,HSPCA,HSPCAL1,HSPCAL4,HSPN,Hsp103,Hsp89,Hsp90,LAP-2,LAP2,HSP90AB1,D6S182,HSP84,HSP90B,HSPC2,HSPCB"
81	Phenformin	"PRKAA1,AMPK,AMPKa1,KCNJ8,KIR6.1,uKATP-1"
82	Bryostatin 1	"PRRT2,BFIC2,BFIS2,DSPB3,DYT10,EKD1,FICCA,ICCA,IFITMD1,PKC"
83	Pazopanib	"FLT1,FLT,FLT-1,VEGFR-1,VEGFR1,KDR,CD309,FLK1,VEGFR,VEGFR2,FLT4,FLT-4,FLT41,LMPH1A,LMPHM1,PCL,VEGFR-3,VEGFR3,PDGFRA,CD140A,PDGFR-2,PDGFR2,PDGFRB,CD140B,IBGC4,IMF1,JTK12,KOGS,PDGFR,PDGFR-1,PDGFR1,PENTT,KIT,C-Kit,CD117,MASTC,PBT,SCFR,FGFR3,ACH,CD333,CEK2,HSFGFR3EX,JTK4,ITK,EMT,LPFS1,LYK,PSCTK2,FGF1,AFGF,ECGF,ECGF-beta,ECGFA,ECGFB,FGF-1,FGF-alpha,FGFA,GLIO703,HBGF-1,HBGF1,SH2B3,IDDM20,LNK"
84	Dacinostat	"HDAC1,GON-10,HD1,RPD3,RPD3L1"
85	Epothilone B	"TUBA3C,TUBA2,bA408E5.3,TUBB2A,CDCBM5,TUBB,TUBB2,TUBB,CDCBM6,CSCSC1,M40,OK/SW-cl.56,TUBB1,TUBB5,TUBB1,TUBB,CDCBM6,CSCSC1,M40,OK/SW-cl.56,TUBB1,TUBB5,TUBB4B,Beta2,LCAEOD,TUBB2,TUBB2C,TUBB4A,DYT4,TUBB4,beta-5,TUBA4A,ALS22,H2-ALPHA,TUBA1,TUBB3,CDCBM,CDCBM1,CFEOM3,CFEOM3A,FEOM3,TUBB4,beta-4,TUBA1C,TUBA6,bcm948,TUBA8,CDCBM8,TUBAL2,TUBA1B,K-ALPHA-1,TUBA1A,B-ALPHA-1,LIS3,TUBA3"
86	GSK1904529A	"IGF1R,CD221,IGFIR,IGFR,JTK13,IR"
87	BMS-345541	"CHUK,IKBKA,IKK-alpha,IKK1,IKKA,NFKBIKA,TCF16,IKBKB,IKK-beta,IKK2,IKKB,IMD15,IMD15A,IMD15B,NFKBIKB"
88	Tipifarnib	"FNTA,FPTA,PGGT1A,PTAR2,FNTB,FPTB,CHURC1-FNTB,FNTB,FTase-beta"
89	Avagacestat	"APP,AAA,ABETA,ABPP,AD1,APPI,CTFgamma,CVAP,PN-II,PN2,preA4"
90	Ruxolitinib	"JAK1,JAK1A,JAK1B,JTK3,JAK2,JTK10,THCYT3"
91	AS601245	"MAPK8,JNK,JNK-46,JNK1,JNK1A2,JNK21B1/2,PRKM8,SAPK1,SAPK1c,MAPK9,JNK-55,JNK2,JNK2A,JNK2ALPHA,JNK2B,JNK2BETA,PRKM9,SAPK,SAPK1a,p54a,p54aSAPK,MAPK9,JNK-55,JNK2,JNK2A,JNK2ALPHA,JNK2B,JNK2BETA,PRKM9,SAPK,SAPK1a,p54a,p54aSAPK"
92	Ispinesib Mesylate	"KSP,KIF11,EG5,HKSP,KNSL1,MCLMR,TRIP5"
93	TL-2-105	"RAF1,CMD1NN,CRAF,NS5,Raf-1,c-Raf,RNASE3,ECP,RAF1,RNS3"
94	AT-7519	"CDK1,CDC2,CDC28A,P34CDC2,CDK2,CDKN2,p33(CDK2),CDK4,CMM3,PSK-J3,CDK6,MCPH12,PLSTIRE,CDK9,C-2k,CDC2L4,CTK1,PITALRE,TAK"
95	TAK-715	"MAPK14,CSBP,CSBP1,CSBP2,CSPB1,EXIP,Mxi2,PRKM14,PRKM15,RK,SAPK2A,p38,p38ALPHA,MAPK11,P38B,P38BETA2,PRKM11,SAPK2,SAPK2B,p38-2,p38Beta"
96	BX-912	"PDK1,PDPK1,PDK1,PDPK2,PDPK2P,PRO0461,PDPK1,PDK1,PDPK2,PDPK2P,PRO0461"
97	ZSTK474	"PIK3CA,CLAPO,CLOVE,CWS5,MCAP,MCM,MCMTC,PI3K,PI3K-alpha,p110-alpha,PIK3CB,P110BETA,PI3K,PI3KBETA,PIK3C1,PIK3CG,PI3CG,PI3K,PI3Kgamma,PIK3,p110gamma,p120-PI3K,PIK3CD,APDS,IMD14,P110DELTA,PI3K,p110D,CLSTN1,ALC-ALPHA,CDHR12,CST-1,CSTN1,PIK3CD,XB31alpha,alcalpha1,alcalpha2,PIK3R1,AGM7,GRB1,IMD36,p85,p85-ALPHA,PIK3R2,MPPH,MPPH1,P85B,p85,p85-BETA,PIK3R3,p55,p55-GAMMA,p55PIK,PIK3R4,VPS15,p150,PIK3R5,F730038I15Rik,FOAP-2,P101-PI3K,p101,PIK3R6,C17orf38,HsT41028,p84 PIKAP,p87(PIKAP),p87PIKAP"
98	AS605240	"PIK3CG,PI3CG,PI3K,PI3Kgamma,PIK3,p110gamma,p120-PI3K"
99	Genentech Cpd 10	"AURKA,AIK,ARK1,AURA,BTAK,PPP1R47,STK15,STK6,STK7,AURKB,AIK2,AIM-1,AIM1,ARK-2,ARK2,AurB,IPL1,PPP1R48,STK-1,STK12,STK5,aurkb-sv1,aurkb-sv2"
100	GSK1070916	"AURKA,AIK,ARK1,AURA,BTAK,PPP1R47,STK15,STK6,STK7,AURKC,AIE2,AIK3,ARK3,AurC,HEL-S-90,SPGF5,STK13,aurora-C"
101	Enzastaurin	"PRKCB,PKC-beta,PKCB,PKCI(2),PKCbeta,PRKCB1,PRKCB2"
102	GSK429286A	"ROCK1,P160ROCK,ROCK-I,ROCK2,ROCK-II"
103	FMK	"RPS6KA1,HU-1,MAPKAPK1A,RSK,RSK1,p90Rsk,RPS6KA2,HU-2,MAPKAPK1C,RSK,RSK3,S6K-alpha,S6K-alpha2,p90-RSK3,p90RSK2,pp90RSK3,RPS6KA3,CLS,HU-3,ISPK-1,MAPKAPK1B,MRX19,RSK,RSK2,S6K-alpha3,p90-RSK2,pp90RSK2"
104	QL-XII-47	"BTK,AGMX1,AT,ATK,BPK,IGHD3,IMD1,PSCTK1,XLA,BMX,ETK,PSCTK2,PSCTK3"
